67,OPEN,85370416589871,14767,14758,14767,3,557634,skipper,/root/.cache/yb/workspaces/c52ddf65534b/default/linux/amd64/yourbase.txt
68,OPEN,85370416926055,14767,14758,14767,3,557056,skipper,/dev/null
69,CLONE,85370417013514,14767,14758,14767,0,0,skipper,
70,FORK,85370417074384,14767,14758,14767,0,0,skipper,
71,PWD,/workspace/
71,EXECVE_RET,85370417156030,14773,14767,14773,0,0,skipper,/skipper --id 01F3WZHAAA66QY2WFBH27DNRFY -- ls 
72,OPEN,85370417484922,14773,14767,14773,3,557056,skipper,/etc/ld.so.cache
73,OPEN,85370417543771,14773,14767,14773,3,557056,skipper,/lib/x86_64-linux-gnu/libpthread.so.0
74,CLONE,85370417645198,14769,14758,14767,0,0,skipper,
75,FORK,85370417690516,14769,14758,14767,0,0,skipper,
76,OPEN,85370417810290,14773,14767,14773,3,557056,skipper,/lib/x86_64-linux-gnu/libc.so.6
77,CLONE,85370418880164,14773,14767,14773,0,0,skipper,
78,FORK,85370418976139,14773,14767,14773,0,0,skipper,
79,CLONE,85370419062747,14773,14767,14773,0,0,skipper,
80,FORK,85370419123855,14773,14767,14773,0,0,skipper,
81,CLONE,85370419228253,14773,14767,14773,0,0,skipper,
82,FORK,85370419306812,14773,14767,14773,0,0,skipper,
83,CLONE,85370420418007,14773,14767,14773,0,0,skipper,
84,FORK,85370420476319,14773,14767,14773,0,0,skipper,
85,OPEN,85370420798540,14773,14767,14773,3,557056,skipper,/proc/stat
86,OPEN,85370420948507,14773,14767,14773,3,557056,skipper,/proc/stat
87,OPEN,85370421089540,14773,14767,14773,3,557056,skipper,/dev/null
88,CLONE,85370421216800,14773,14767,14773,0,0,skipper,
89,FORK,85370421262280,14773,14767,14773,0,0,skipper,
90,PWD,/workspace/
90,EXECVE_RET,85370421356915,14779,14773,14779,0,0,skipper,/usr/bin/getconf CLK_TCK 
91,OPEN,85370421617063,14779,14773,14779,3,557056,getconf,/etc/ld.so.cache
92,OPEN,85370421675908,14779,14773,14779,3,557056,getconf,/lib/x86_64-linux-gnu/libc.so.6
93,OPEN,85370421985767,14779,14773,14779,-2,557056,getconf,/usr/lib/locale/locale-archive
94,OPEN,85370422036946,14779,14773,14779,-2,557056,getconf,/usr/share/locale/locale.alias
95,OPEN,85370422095054,14779,14773,14779,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_CTYPE
96,OPEN,85370422152222,14779,14773,14779,3,32768,getconf,/usr/lib/x86_64-linux-gnu/gconv/gconv-modules.cache
97,OPEN,85370422208089,14779,14773,14779,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_MESSAGES
98,OPEN,85370422253507,14779,14773,14779,3,557056,getconf,/usr/lib/locale/C.UTF-8/LC_MESSAGES/SYS_LC_MESSAGES
99,EXIT,85370422368728,14779,14773,14779,0,0,getconf,
100,CLONE,85370422922897,14776,14767,14773,0,0,skipper,
101,FORK,85370422973332,14776,14767,14773,0,0,skipper,
102,OPEN,85370523163574,14780,14767,14773,3,557056,skipper,/etc/nsswitch.conf
103,OPEN,85370523335689,14780,14767,14773,3,557056,skipper,/etc/resolv.conf
104,OPEN,85370523464937,14780,14767,14773,3,557056,skipper,/etc/hosts
105,OPEN,85370523917735,14780,14767,14773,5,557056,skipper,/changes
106,OPEN,85370524442571,14780,14767,14773,7,557056,skipper,/proc/81
107,OPEN,85370524508651,14780,14767,14773,7,557056,skipper,/proc/81/cmdline
108,OPEN,85370524607944,14780,14767,14773,7,557056,skipper,/proc/81/stat
109,OPEN,85370524736592,14780,14767,14773,7,557056,skipper,/proc/modules
110,OPEN,85370524967044,14780,14767,14773,7,557056,skipper,/proc/cpuinfo
111,OPEN,85370525114280,14780,14767,14773,7,557056,skipper,/proc/self/status
112,OPEN,85370525242096,14780,14767,14773,7,557056,skipper,/proc/self/cgroup
